load.started,load.stopped,Sona ID,Participant ID,Session,date,expName,psychopyVersion,OS,frameRate,cvmtInstr.started,cvmtInstr.stopped,cvmtTaskInstr.started,cvmtTaskInstr.stopped,presentDesign.started,presentDesign.stopped,cvmt_key_resp.keys,cvmt_key_resp.corr,cvmt_key_resp.rt,cvmt_key_resp.duration,cvmtNoResp.started,cvmtNoResp.stopped,cvmt_key_resp2.keys,cvmt_key_resp2.corr,cvmtSampleFB.started,cvmtSampleFB.stopped,key_resp_15.keys,cvmtSampleFBFinal.started,cvmtSampleFBFinal.stopped,cvmt_final_samp_fb_key_resp.keys,cvmtTrials.thisRepN,cvmtTrials.thisTrialN,cvmtTrials.thisN,cvmtTrials.thisIndex,cvmtTrials.ran,cvmt_design,old_or_new,cvmtDelay.started,cvmtDelay.stopped,cvmt timer,engAJT_instr.started,engAJT_instr.stopped,start_ajt.keys,start_ajt.rt,start_ajt.duration,engAJT.started,engAJT.stopped,acceptability.response,acceptability.rt,engAJT_trials.thisRepN,engAJT_trials.thisTrialN,engAJT_trials.thisN,engAJT_trials.thisIndex,engAJT_trials.ran,ajt_list,list_position,condition,item,testSent
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,177.1577,179.1564,n,0,0.6961,,179.1564,179.1566,,0,179.1567,179.1573,,179.1573,179.1574,,0,76,76,76,1,cvmt/test_items/t77.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,179.1577,181.1563,n,0,1.0406,,181.1563,181.1567,,0,181.1567,181.1572,,181.1573,181.1573,,0,77,77,77,1,cvmt/test_items/t78.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,181.1576,183.1562,n,0,0.8298,,183.1562,183.1565,,0,183.1565,183.1571,,183.1571,183.1572,,0,78,78,78,1,cvmt/test_items/t79.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,183.1576,185.1562,o,0,0.7313,,185.1563,185.1565,,0,185.1566,185.1571,,185.1572,185.1573,,0,79,79,79,1,cvmt/test_items/t80.jpeg,n,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,185.1576,187.1562,n,0,0.9168,,187.1563,187.1565,,0,187.1566,187.1571,,187.1571,187.1572,,0,80,80,80,1,cvmt/test_items/t81.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,187.1575,189.1562,o,1,0.5322,,189.1563,189.1564,,0,189.1565,189.157,,189.1571,189.1572,,0,81,81,81,1,cvmt/test_items/t82.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,189.1575,191.1562,n,0,1.5129,,191.1563,191.1565,,0,191.1565,191.157,,191.157,191.1571,,0,82,82,82,1,cvmt/test_items/t83.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,191.1575,193.1562,o,1,0.7391,,193.1563,193.1565,,0,193.1566,193.157,,193.157,193.1572,,0,83,83,83,1,cvmt/test_items/t84.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,193.1574,195.1563,n,0,0.6327,,195.1563,195.1565,,0,195.1565,195.157,,195.157,195.157,,0,84,84,84,1,cvmt/test_items/t85.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,195.1574,197.1565,o,1,0.6304,,197.1566,197.1568,,0,197.1569,197.1574,,197.1574,197.1576,,0,85,85,85,1,cvmt/test_items/t86.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,197.158,199.1563,n,0,0.6473,,199.1564,199.1566,,0,199.1567,199.1573,,199.1573,199.1573,,0,86,86,86,1,cvmt/test_items/t87.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,199.1577,201.1562,n,1,0.8077,,201.1562,201.1566,,0,201.1566,201.1572,,201.1572,201.1573,,0,87,87,87,1,cvmt/test_items/t88.jpeg,n,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,201.1577,203.1562,o,0,0.6641,,203.1563,203.1566,,0,203.1566,203.1572,,203.1572,203.1574,,0,88,88,88,1,cvmt/test_items/t89.jpeg,n,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,203.1577,205.1561,o,1,0.7427,,205.1563,205.1564,,0,205.1565,205.1571,,205.1571,205.1572,,0,89,89,89,1,cvmt/test_items/t90.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,205.1575,207.1562,n,0,0.9312,,207.1563,207.1566,,0,207.1566,207.1572,,207.1572,207.1573,,0,90,90,90,1,cvmt/test_items/t91.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,207.1575,209.1562,n,0,0.69,,209.1563,209.1565,,0,209.1565,209.1571,,209.1571,209.1571,,0,91,91,91,1,cvmt/test_items/t92.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
,,117393,109,1,2024-03-07_22h02.38.314,Memory and Syntax,2023.2.3,MacIntel,60.24096386,,,,,209.1574,211.1558,o,1,0.6304,,211.1558,211.1559,,0,211.1559,211.1561,,211.1561,211.1561,,0,92,92,92,1,cvmt/test_items/t93.jpeg,o,,,,,,,,,,,,,,,,,,,,,,
